date_added,title,company,location,requirements,salary,contract_type,working_hours,link,source
9/30/2025 12:46,Senior Machine Learning Engineer (یزد),,یزد، یزد,"About the Role We are seeking a talented Senior Machine Learning Engineer to lead the development and deployment of advanced NLP, information retrieval, and AI agent solutions. You will architect production-ready ML systems using the latest technologies, with a focus on large language models (LLMs), vector databases, and agent frameworks. Key Responsibilities • Design, develop, and deploy end-to-end ML solutions, with a focus on NLP, information retrieval, and LLM-driven applications. • Build and optimize production-grade systems leveraging vector databases, LLMs, and frameworks like LangChain and pydantic. • Develop and maintain APIs and backend services using FastAPI. • Collaborate cross-functionally to translate business needs into robust, scalable technical solutions. • Ensure code quality and delivery pipelines using CI/CD (GitHub Actions) and containerization (Docker). • Research and evaluate new technologies, frameworks, and architectures for continuous innovation. • Operate in a cloud-first environment (AWS or Azure) for scalable and reliable deployments. • Mentor junior engineers and share knowledge with the wider team. Required Skills & Experience • NLP & Information Retrieval: Deep experience with natural language processing, semantic search, and vector databases. • LLMs & AI Agents: Hands-on expertise with large language models, generative AI, and agent frameworks (e.g., LangChain, OpenAI/Claude APIs, pydantic). • Production Systems: Proven ability to build, deploy, and maintain production-ready ML systems. • Cloud Platforms: Strong experience with AWS or Azure is a must. • APIs & Infrastructure: Proficient in FastAPI, Docker, CI/CD (especially GitHub Actions). • Software Engineering: Strong background in software engineering best practices, code reviews, and version control. • Research Mindset: Ability to stay updated with state-of-the-art ML research and translate theory into practice. • Communication: Proficient in English, with strong written and verbal communication skills. • Mindset: Proactive, solutions-oriented, and thrives in a collaborative, fast-paced environment. Nice to Have • Experience with additional ML frameworks or deployment tools. • Contributions to open-source projects in the ML/AI space. • Familiarity with MLOps practices and monitoring/observability of ML systems. A very important additional footnote : In-person job position in Yazd",توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/finitx/jobs/tJFM/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-machine-learning-engineer-%DB%8C%D8%B2%D8%AF-%D8%AF%D8%B1-%D8%AF%D8%B1%D8%A7%DB%8C%D8%AA-%D9%BE%D9%88%DB%8C%D8%A7%D9%86-%D9%86%D8%B3%D9%84-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D8%AF%D9%BE%D9%86%D8%A7?_ref=16&_t=3138382e3131382e37342e313135,Jobinja
9/30/2025 12:46,کارشناس هوش مصنوعی (یادگیری ماشین),,تهران، تهران,مهارت های تخصصی 1.       زبان برنامه‌نویسی پایتون: تسلط کامل بر Python آشنایی با نسخه‌های مختلف Python و تفاوت‌های آن‌ها آشنایی با Package Management (مثل Poetry/Conda) آشنایی با سیستم عامل Linux آشنایی با Rest API / Micro Services 2.       کتابخانه‌ها و فریم‌ورک‌های یادگیری ماشین و هوش مصنوعی : تجربه کار با مدل های Hugging Face آشنایی با الگوریتم کلاس بندی ) Classifications Algorithms ( آشنایی با الگوریتم های خوشه بندی ( Clustering Algorithms ) آشنایی با الگوریتم های پردازش زبان طبیعی ) NLP Algorithms ( آشنایی با چت بات ها ( Chat Bots ) 3.       مدل‌سازی و آموزش مدل‌ها طراحی و پیاده‌سازی مدل‌های یادگیری ماشین آموزش مدل‌ها با استفاده از داده‌های واقعی ارزیابی و بهینه‌سازی مدل‌ها تنظیم هایپرپارامترها Hyperparameter Tuning 4.       پیش‌پردازش داده‌ها و کار با دیتاست‌ها: پاک‌سازی و آماده‌سازی داده‌ها ویژگی‌سازی Feature Engineering استفاده از ابزارهایی مانند Pandas و NumPy برای کار با داده‌ها مدیریت و پردازش داده‌های بزرگ با استفاده از Dask یا Apache Spark 5.       مدیریت و استفاده از دیتابیس‌ها: کار با پایگاه‌های داده SQL و NoSQL توانایی استفاده از ابزارهایی مانند SQLite، PostgreSQL، MongoDB ( مزیت ) 6.       آزمون و ارزیابی مدل‌ها: استفاده از متریک‌های ارزیابی مانند صحت Accuracy  ، بازیایی  ( Recall )، دقت پیش‌بینی  ( Precision )، و امتیاز F1 استفاده از تکنیک‌های اعتبارسنجی متقابل ( Cross-Validation ) آشنایی با مانیتورینگ و داشبورد ارزیابی مدل های هوش مصنوعی 7.       مدیریت مدل‌ها و سیستم‌های تولید: پیاده‌سازی مدل‌ها در محیط‌های تولید آشنایی با سیستم‌های مدیریت مدل مانند MLflow 8.       آشنایی با مفاهیم پیشرفته: یادگیری عمیق ( Deep Learning )  ( مزیت ) شبکه‌های عصبی کانولوشن ( CNNs ) ( مزیت ) شبکه‌های عصبی بازگشتی ( RNNs ) ( مزیت ) یادگیری تقویتی ( Reinforcement Learning ) ( مزیت ) کوانتیزه کردن مدلها ( Quantization ) AI Agent RAG (Retrieval Augmented Generation) 9.       ابزارهای توسعه و تست: Git برای کنترل نسخه Jupyter Notebook و JupyterLab برای تحلیل داده‌ها و توسعه مدل‌ها استفاده از ابزارهای تست مانند PyTest 10.   تسلط بر استفاده از انواع API های مدل های LLM 11.   مهارت‌های نرم‌ و ارتباطی: توانایی کار در تیم‌های چند تخصصی ارتباط مؤثر با تیم‌های داده، تحقیق و مدیریت محصول مهارت‌های ارائه و دفاع از مدل‌ها مسئولیت پذیر و نتیجه محور ابزارها و سرویس‌های مورد نیاز: 1.       کتابخانه‌ها و فریم‌ورک‌ها: Scikit-learn XGBoost LightGBM word2vec tfidf embeddings TensorFlow (مزیت) Keras (مزیت) PyTorch (مزیت) 2.       ابزارهای پیش‌پردازش داده‌ها: Pandas NumPy Dask Apache Spark 3.       پایگاه‌های داده: MS SQL Server No SQL 4.       ابزارهای تست و ارزیابی: PyTest Jupyter Notebook JupyterLab 5.       ابزارهای مدیریت مدل‌ها: ·         MLflow 6.       ابزارهای توسعه و Deploy : Docker Kubernetes ساعت کاری و مزایا: از شنبه تا چهارشنبه از ساعت 8:00 تا 17:15 پنجشنبه ها تعطیل پرداخت منظم حقوق بیمه درمان تکمیلی صبحانه کمک هزینه نهار بسته ها و هدایای مناسبتی صندوق وام پاداش عملکرد,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/ican/jobs/tFPU/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%AF%D8%B1-%DA%AF%D8%B1%D9%88%D9%87-%D9%85%D9%87%D9%86%D8%AF%D8%B3%DB%8C-%D8%A2%DB%8C-%DA%A9%D9%86?_ref=16&_t=3138382e3131382e37342e313135,Jobinja
9/30/2025 12:46,متخصص هوش مصنوعی و یادگیری ماشین (AI/ML Engineer),,تهران، تهران,"ما به دنبال یک متخصص هوش مصنوعی با تجربه هستیم که بتواند یک سیستم پیش‌بینی‌کننده ساده و کاربردی طراحی کند. شما مسئول توسعه مدل‌های اولیه، پردازش داده‌ها و ارائه پروتوتایپی خواهید بود که برای کاربران غیرفنی قابل استفاده باشد. این پروژه در فاز ابتدایی است و نیاز به خلاقیت و دقت بالا دارد. مسئولیت‌ها: توسعه مدل‌های یادگیری ماشین برای تحلیل داده‌های ساختارمند. آماده‌سازی و پاک‌سازی داده‌ها با رعایت اصول محرمانگی. ایجاد یک رابط کاربری ساده (مثل داشبورد یا اپلیکیشن پایه) برای نمایش نتایج. همکاری با تیم برای بهینه‌سازی و تحویل پروژه در زمان مشخص. ارائه گزارش‌های واضح و ساده از پیشرفت پروژه. مهارت‌ها و شرایط احراز: الزامات ضروری: مدرک لیسانس (یا بالاتر) در علوم کامپیوتر، هوش مصنوعی یا رشته‌های مرتبط. حداقل ۲ سال تجربه عملی در توسعه پروژه‌های یادگیری ماشین با Python. تسلط به کتابخانه‌های ML مانند Scikit-learn, TensorFlow یا PyTorch. تجربه در پردازش داده‌های ناقص یا ساختارمند با ابزارهایی مثل Pandas یا NumPy. توانایی ارائه توضیحات ساده و قابل فهم برای مخاطبان غیرفنی. امتیازات مثبت: تجربه در پروژه‌های حساس با داده‌های واقعی (ترجیحاً در حوزه‌های اجتماعی یا عمومی). آشنایی با اصول محرمانگی داده (مانند GDPR یا استانداردهای مشابه). داشتن نمونه‌کار قابل بررسی در GitHub یا پلتفرم‌های مشابه (لطفاً لینک ارائه دهید). تجربه کار با فریم‌ورک‌های چندایجنتی (مثل AutoGen) یا APIهای هوش مصنوعی. مهارت‌های نرم: حل مسئله قوی و توانایی کار در پروژه‌های استارتاپی. تعهد کامل به محرمانگی پروژه و رعایت اصول حرفه‌ای.",توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/zeus-ai/jobs/tJZK/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D9%88-%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-ai-ml-engineer-%D8%AF%D8%B1-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D8%B2%D8%A6%D9%88%D8%B3?_ref=16&_t=3138382e3131382e37342e313135,Jobinja
9/30/2025 12:46,متخصص هوش مصنوعی,,تهران، تهران,شرکت پژوهش و نوآوری فرتاک ایرانیان فعال در حوزه هوش مصنوعی و اینترنت اشیاء در صنایع فولاد و معادن، برای توسعه پروژه‌های بینایی ماشین و یادگیری ماشین، به دنبال جذب نیروی متخصص با شرایط زیر است: مهارت‌های مورد نیاز: تسلط کامل به زبان Python تجربه عملی در پروژه‌های پردازش تصویر آشنایی با الگوریتم‌های Machine Learning  و Deep Learning توانایی دیپلوی و استقرار مدل‌ها روی محیط‌های production مانند استفاده از Docker، REST API و ابزارهای مرتبط آشنایی با کتابخانه‌هایی مانند PyTorch، TensorFlow، OpenCV مزیت محسوب می‌شود: تجربه یا آشنایی با مدل‌های زبانی بزرگ (LLM) ویژه مشمولین خدمت سربازی: امکان جذب از طریق امریه سربازی وجود دارد.,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/irainian-fartak-research-and-innovation-co/jobs/tc5L/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D8%AF%D8%B1-%D9%BE%DA%98%D9%88%D9%87%D8%B4-%D9%88-%D9%86%D9%88%D8%A2%D9%88%D8%B1%DB%8C-%D9%81%D8%B1%D8%AA%D8%A7%DA%A9-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C%D8%A7%D9%86?_ref=16&_t=3138382e3131382e37342e313135,Jobinja
9/30/2025 12:46,Learning & Development Expert,,تهران، تهران,"Assess training needs through surveys, interviews with employees, focus groups, and/or consultation with managers, instructors, or customer representatives. Offer specific training programs to help workers maintain or improve job skills. Design and develop creative, high-quality, interactive learning content for remote and classroom training, including lesson plans, facilitator guides, participant materials, videos, and practical exercises. Provide individualized instruction and tutorial, or remedial instruction. Negotiate contracts with clients, including desired training outcomes, fees, and expenses. Monitor, evaluate, and record training activities and program effectiveness. Analyze different types of employees based on their performance and potential and categorize them to distinguish high-potential ones (HiPos). Prepare and propose a succession planning policy based on the organization's strategy. Prepare and maintain IDP result updates to analyze each development nominee’s progress line. Evaluate management development programs to ensure the effectiveness of results. Execute the company’s Learning and Development strategy and manage the development of a robust talent pipeline for key roles at the company through effective high-potential management, leadership development, and succession planning. Design and conduct effective leadership development models. Key Professional Competencies: General culture in all HR areas. Being familiar with learning theories and concepts. Strong project management skills; able to identify needs, develop effective solutions, and manage projects through to completion. Being familiar with leadership models, concepts, and practices. Telecom industry understanding. Communication skills (oral and written). Curiosity. Anticipation and adaptation. Listening and empathy Skills. Creativity and innovation. Influence and persuasion. Relationship building. Analytic thinking. Problem-solving skills.",توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/naghsh-aval-keyfiat/jobs/tzKw/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-learning-development-expert-%D8%AF%D8%B1-%D9%86%D9%82%D8%B4-%D8%A7%D9%88%D9%84-%DA%A9%DB%8C%D9%81%DB%8C%D8%AA?_ref=16&_t=3138382e3131382e37342e313135,Jobinja
9/30/2025 12:46,متخصص هوش مصنوعی,,تهران، تهران,طراحی و توسعه الگوریتم‌های یادگیری ماشین و برنامه‌ها و سیستم‌های یادگیری عمیق حل مسائل پیچیده با مجموعه داده‌های چندلایه و بهینه‌سازی کتابخانه‌ها و چارچوب‌های یادگیری ماشین موجود اطمینان از تولید توصیه‌های دقیق توسط الگوریتم‌ها به‌روز ماندن با پیشرفت‌ها در صنعت یادگیری ماشین مسئولیت‌ها مطالعه و تبدیل نمونه‌های اولیه علوم داده و به‌کارگیری الگوریتم‌ها و ابزارهای مناسب یادگیری ماشین اجرای تست‌ها و آزمایش‌های یادگیری ماشین و مستندسازی یافته‌ها و نتایج آموزش، بازآموزی و نظارت بر سیستم‌ها و مدل‌های یادگیری ماشین در صورت نیاز گسترش کتابخانه‌ها و چارچوب‌های یادگیری ماشین موجود مهارت‌ها و صلاحیت‌ها مهارت‌های ریاضی و کامپیوتر، با درک عمیق از احتمال، آمار و الگوریتم‌ها دانش عمیق از چارچوب‌های یادگیری ماشین، مانند Keras یا PyTorch آشنایی با ساختارهای داده، مدل‌سازی داده و معماری نرم‌افزار آشنایی با پایتون، جاوا و R مهارت‌های عالی در ارتباط و همکاری ذهن خلاق با اشتیاق به یادگیری مداوم مدرک لیسانس (یا معادل آن) در علوم کامپیوتر، ریاضیات یا رشته‌های مرتبط,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/aiko/jobs/tzye/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D8%AF%D8%B1-%D8%A2%D8%B1%D9%85%D8%A7%D9%86-%D8%A7%DB%8C%D9%85%D9%86-%DA%A9%D9%88%D9%87%D8%B3%D8%AA%D8%A7%D9%86?_ref=16&_t=3138382e3131382e37342e313135,Jobinja
9/30/2025 12:47,Software Developer,,تهران، تهران,"Job Opening: Developer Location: Tehran-based Team Size: Small, agile, and passionate Type: Full-time About Us We're a tight-knit team working at the intersection of finance and technology. Our mission? Build smart, fast, and reliable trading bots for the crypto markets. We thrive on precision, experimentation, and staying ahead of the curve in a space that never sleeps. What You’ll Do Design, develop, and maintain automated trading systems for crypto assets Integrate with other systems via REST/WebSocket APIs Optimize execution strategies for latency Monitor performance and troubleshoot live systems Collaborate on strategy design and system architecture What We’re Looking For Strong programming skills in Python (or Node.js) Strong problem-solving skills Solid understanding of data structures , multithreading , and networking Comfort with Linux , Docker , and Git Bonus: Experience with machine learning and AI You’ll Fit Right In If You… Love solving complex problems with clean code Enjoy working in a fast-paced, experimental environment Can communicate clearly and collaborate asynchronously Are self-driven and take ownership of your work What We Offer Competitive compensation Direct impact on product and strategy A chance to grow with a team that values creativity and precision",توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/ararat-5/jobs/tJXo/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-software-developer-%D8%AF%D8%B1-%D8%A7%D9%81%D8%B1%D8%A7-%D8%AA%D8%AC%D8%A7%D8%B1%D8%AA-%D8%A2%D8%AF%D9%86%D9%8A%D8%B3?_ref=16&_t=3138382e3131382e37342e313135,Jobinja
9/30/2025 12:47,کمک انباردار(آقا-اصفهان),,اصفهان، اصفهان,تمام مسایل مربوط به انبار داری. کار با کامپیوتر . ورود و خروج و بارگیری جابجایی قطعات,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/isfahan-machine/jobs/tFgc/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D9%85%DA%A9-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%A7%D8%B1-%D8%A2%D9%82%D8%A7-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D8%AF%D8%B1-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D9%85%D8%A7%D8%B4%DB%8C%D9%86?_ref=16&_t=3138382e3131382e37342e313135,Jobinja
9/30/2025 12:47,تکنسین فنی برق (تعمیر و نگهداری-آقا),,تهران، تهران,وظایف شرکت هیوا ماشین در راستای تکمیل کادر فنی خود، از واجدین شرایط برای همکاری در سمت تکنسین نگهداری و تعمیرات دعوت بعمل می آورد. شرح وظایف: انجام برنامه های نگهداری پیشگیرانه و دوره ای مطابق با دستورالعمل ها و استانداردهای شرکت انجام عیب یابی و تعمیرات غیر برنامه ای واکنش سریع به خرابی ها و انجام تعمیرات اضطراری برای بازگرداندن دستگاه به حالت عملیاتی در کمترین زمان ممکن ثبت و مستندسازی فعالیت های روزانه به طور دقیق و منظم مهارت ها و توانایی ها: مهارت در خواندن نقشه های فنی و عیب یابی تجهیزات توانایی کار با ابزارهای اندازه گیری و تست تجهیزات آشنایی به اصول نگهداری و تعمیرات ماشین آلات صنعتی دارای سلامت و فیزیک بدنی مناسب آمادگی و توانایی کار در محیط باز آشنایی به سیستم های برودتی مزیت محسوب می شود شایستگی ها: پیگیر و مسئولیت پذیر توانایی انجام کار گروهی منظم و دقیق دارای روابط عمومی قوی توجه داشته باشید: این موقعیت شغلی دارای کار عملی و اجرایی (دست به آچار) می باشد. حقوق پرداختی مطابق با سطح دانش و توانایی فرد تعیین می گردد.,توافقی,تمام‌وقت,استاندارد,https://jobinja.ir/companies/hiva-machine-holding/jobs/t0iJ/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%AA%DA%A9%D9%86%D8%B3%DB%8C%D9%86-%D9%81%D9%86%DB%8C-%D8%A8%D8%B1%D9%82-%D8%AA%D8%B9%D9%85%DB%8C%D8%B1-%D9%88-%D9%86%DA%AF%D9%87%D8%AF%D8%A7%D8%B1%DB%8C-%D8%A2%D9%82%D8%A7-%D8%AF%D8%B1-%D9%87%D9%84%D8%AF%DB%8C%D9%86%DA%AF-%D9%87%DB%8C%D9%88%D8%A7-%D9%85%D8%A7%D8%B4%DB%8C%D9%86?_ref=16&_t=3138382e3131382e37342e313135,Jobinja
